id,name,feature,status,trigger_node_id,chain_node_ids,tests_related,docs_related,evidence,missing_links,risk_level,last_verified_at,notes
CHAIN-AUTH-SESSION,Auth session login chain,auth-session,verified,SOAR-PAGE-LOGIN,SOAR-PAGE-LOGIN;SOAR-COMP-LOGIN-FORM;SOAR-API-AUTH-LOGIN;SOAR-DB-USER;SOAR-API-AUTH-ME;SOAR-TEST-AUTH-SESSION;SOAR-DOC-API-AUTH;SOAR-DOC-WEB-AUTH,SOAR-TEST-AUTH-SESSION,SOAR-DOC-TRACEABILITY;SOAR-DOC-API-AUTH;SOAR-DOC-WEB-AUTH,history/evidence/prod-auth-session-browser-proof-84711599-2026-05-14.md,,high,2026-05-14,"Seed chain for auth."
CHAIN-DASHBOARD-RUNTIME,Dashboard runtime monitoring chain,dashboard-runtime,partially_verified,SOAR-PAGE-DASHBOARD,SOAR-PAGE-DASHBOARD;SOAR-COMP-HOME-LIVE-WIDGETS;SOAR-API-BOT-RUNTIME-POSITIONS;SOAR-DB-RUNTIME-SESSION;SOAR-DB-POSITION;SOAR-TEST-DASHBOARD-RUNTIME;SOAR-DOC-WEB-DASHBOARD-HOME;SOAR-DOC-API-BOTS,SOAR-TEST-DASHBOARD-RUNTIME,SOAR-DOC-TRACEABILITY;SOAR-DOC-WEB-DASHBOARD-HOME;SOAR-DOC-API-BOTS,apps/web/src/features/dashboard-home/components/HomeLiveWidgets.runtime-table-audit.test.tsx,"Fresh authenticated browser proof after public reachability restore",high,2026-05-23,"Do not claim current production dashboard behavior from local tests alone."
CHAIN-MANUAL-ORDER,Manual order execution chain,manual-order,verified_local,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-COMP-HOME-LIVE-WIDGETS;SOAR-HOOK-MANUAL-ORDER-CONTROLLER;SOAR-API-MANUAL-CONTEXT;SOAR-API-ORDER-OPEN;SOAR-SERVICE-ORDERS;SOAR-FEATURE-EXCHANGE-ADAPTER;SOAR-DB-ORDER;SOAR-DB-POSITION;SOAR-DB-TRADE;SOAR-TEST-MANUAL-ORDER;SOAR-DOC-EXECUTION-LIFECYCLE;SOAR-DOC-API-ORDERS,SOAR-TEST-MANUAL-ORDER,SOAR-DOC-EXECUTION-LIFECYCLE;SOAR-DOC-API-ORDERS,history/audits/live-exchange-execution-parity-2026-05-23-task.md,"Approval-gated LIVE mutation proof",critical,2026-05-23,"Local proof exists; live-money actions remain gated."
CHAIN-RUNTIME-DCA-PNL,Runtime DCA exchange PnL chain,runtime-dca-pnl,verified_local,SOAR-FEATURE-RUNTIME-DCA-PNL,SOAR-FEATURE-RUNTIME-DCA-PNL;SOAR-SERVICE-RUNTIME-AUTOMATION;SOAR-FEATURE-EXCHANGE-ADAPTER;SOAR-DB-POSITION;SOAR-TEST-RUNTIME-DCA-PNL;SOAR-DOC-POSITION-PNL-LIFECYCLE,SOAR-TEST-RUNTIME-DCA-PNL,SOAR-DOC-POSITION-PNL-LIFECYCLE,history/tasks/runtime-dca-exchange-pnl-threshold-2026-05-23-task.md,"Protected production readback",critical,2026-05-23,"Systemic chain for the latest DCA threshold repair."
CHAIN-MANUAL-ORDER-DEEP,Manual order deep execution chain,manual-order,verified_local,SOAR-COMP-HOME-LIVE-WIDGETS,SOAR-COMP-HOME-LIVE-WIDGETS;SOAR-HOOK-MANUAL-ORDER-CONTROLLER;SOAR-SERVICE-WEB-BOTS-API;SOAR-API-MANUAL-CONTEXT;SOAR-API-ORDER-OPEN;SOAR-CONTROLLER-ORDERS;SOAR-TYPES-ORDERS;SOAR-SERVICE-ORDERS;SOAR-SERVICE-MANUAL-CONTEXT;SOAR-SERVICE-ORDER-QUANTITY-RULES;SOAR-SERVICE-PRETRADE;SOAR-FEATURE-EXCHANGE-ADAPTER;SOAR-SERVICE-EXECUTION-ORCHESTRATOR;SOAR-SERVICE-ORDER-LIFECYCLE;SOAR-SERVICE-ORDER-EXCHANGE-EVENTS;SOAR-DB-ORDER;SOAR-DB-ORDER-FILL;SOAR-DB-POSITION;SOAR-DB-TRADE;SOAR-TEST-WEB-MANUAL-ORDER;SOAR-TEST-ORDER-SERVICE;SOAR-TEST-ORDER-POSITIONS-E2E;SOAR-TEST-ORDER-QUANTITY-RULES;SOAR-TEST-ORDER-EXCHANGE-EVENTS;SOAR-DOC-WEB-ORDERS;SOAR-DOC-API-ORDERS;SOAR-DOC-EXECUTION-LIFECYCLE,SOAR-TEST-WEB-MANUAL-ORDER;SOAR-TEST-ORDER-SERVICE;SOAR-TEST-ORDER-POSITIONS-E2E;SOAR-TEST-ORDER-QUANTITY-RULES;SOAR-TEST-ORDER-EXCHANGE-EVENTS,SOAR-DOC-WEB-ORDERS;SOAR-DOC-API-ORDERS;SOAR-DOC-EXECUTION-LIFECYCLE,history/audits/live-exchange-execution-parity-2026-05-23-task.md,"Protected production manual/bot readback and approval-gated LIVE mutation proof",critical,2026-05-24,"Backfilled P0 manual order chain across UI service API controller DTO service pretrade exchange lifecycle DB tests and docs."
CHAIN-POSITIONS-CORE,Positions read reconciliation and manual update chain,positions,verified_local,SOAR-COMP-RUNTIME-DATA-SECTION,SOAR-PAGE-POSITIONS-LEGACY;SOAR-PAGE-DASHBOARD;SOAR-COMP-HOME-LIVE-WIDGETS;SOAR-COMP-RUNTIME-DATA-SECTION;SOAR-COMP-RUNTIME-DATA-PRESENTERS;SOAR-WEB-POSITIONS-SERVICE;SOAR-API-POSITION-LIST;SOAR-API-POSITION-GET;SOAR-API-POSITION-MANUAL-UPDATE;SOAR-API-POSITION-EXCHANGE-SNAPSHOT;SOAR-API-POSITION-LIVE-STATUS;SOAR-API-POSITION-TAKEOVER-STATUS;SOAR-API-POSITION-TAKEOVER-REBIND;SOAR-API-POSITION-ORPHAN-REPAIR;SOAR-CONTROLLER-POSITIONS;SOAR-TYPES-POSITIONS;SOAR-SERVICE-POSITIONS;SOAR-SERVICE-POSITION-SNAPSHOT-NORMALIZATION;SOAR-SERVICE-LIVE-POSITION-RECONCILIATION;SOAR-FEATURE-EXCHANGE-ADAPTER;SOAR-SERVICE-RUNTIME-AUTOMATION;SOAR-DB-POSITION;SOAR-DB-ORDER;SOAR-DB-TRADE;SOAR-TEST-WEB-POSITIONS;SOAR-TEST-POSITIONS-SERVICE;SOAR-TEST-POSITIONS-SNAPSHOT;SOAR-TEST-POSITIONS-RECONCILIATION;SOAR-TEST-POSITIONS-TAKEOVER-ORPHAN;SOAR-DOC-WEB-POSITIONS;SOAR-DOC-API-POSITIONS;SOAR-DOC-LIVE-POSITION-RESTART;SOAR-DOC-DASHBOARD-ROUTE-MAP,SOAR-TEST-WEB-POSITIONS;SOAR-TEST-POSITIONS-SERVICE;SOAR-TEST-POSITIONS-SNAPSHOT;SOAR-TEST-POSITIONS-RECONCILIATION;SOAR-TEST-POSITIONS-TAKEOVER-ORPHAN,SOAR-DOC-WEB-POSITIONS;SOAR-DOC-API-POSITIONS;SOAR-DOC-LIVE-POSITION-RESTART;SOAR-DOC-DASHBOARD-ROUTE-MAP,history/evidence/v1-positions-local-proof-task-2026-05-11.md,"Fresh production-safe positions clickthrough and protected LIVE readback remain separate",critical,2026-05-24,"Backfilled P0 positions chain across legacy route runtime UI Web service API controller DTO service exchange snapshot reconciliation DB tests and docs."
CHAIN-BOT-RUNTIME-CORE,Bot Runtime monitoring core chain,bot-runtime,verified_local,SOAR-PAGE-BOT-RUNTIME,SOAR-PAGE-BOT-RUNTIME;SOAR-COMP-BOTS-MANAGEMENT;SOAR-SERVICE-WEB-BOTS-API;SOAR-API-BOT-RUNTIME-AGGREGATE;SOAR-API-BOT-RUNTIME-SESSIONS;SOAR-API-BOT-RUNTIME-SESSION-GET;SOAR-API-BOT-RUNTIME-SYMBOL-STATS;SOAR-API-BOT-RUNTIME-POSITIONS;SOAR-API-BOT-RUNTIME-TRADES;SOAR-API-BOT-RUNTIME-CLOSE-POSITION;SOAR-CONTROLLER-BOTS;SOAR-TYPES-BOTS;SOAR-SERVICE-RUNTIME-AGGREGATE;SOAR-SERVICE-RUNTIME-SESSIONS;SOAR-SERVICE-RUNTIME-SYMBOL-STATS;SOAR-SERVICE-RUNTIME-POSITIONS-READ;SOAR-SERVICE-RUNTIME-TRADES;SOAR-SERVICE-RUNTIME-POSITION-COMMAND;SOAR-SERVICE-LIVE-POSITION-RECONCILIATION;SOAR-SERVICE-RUNTIME-AUTOMATION;SOAR-FEATURE-EXCHANGE-ADAPTER;SOAR-DB-RUNTIME-SESSION;SOAR-DB-POSITION;SOAR-DB-ORDER;SOAR-DB-TRADE;SOAR-TEST-BOT-RUNTIME-API;SOAR-TEST-BOT-RUNTIME-WEB;SOAR-DOC-API-BOTS;SOAR-DOC-WEB-BOTS,SOAR-TEST-BOT-RUNTIME-API;SOAR-TEST-BOT-RUNTIME-WEB,SOAR-DOC-API-BOTS;SOAR-DOC-WEB-BOTS,history/audits/bots-runtime-truth-audit-2026-05-19.md,"Fresh authenticated production runtime readback remains separate",critical,2026-05-24,"Backfilled P0 Bot Runtime monitoring chain across route UI Web service aggregate routes controller DTO read services command service DB tests and docs."
CHAIN-RELEASE-AUDIT-TOOLING,Release audit tooling evidence chain,release-audit-tooling,verified_local,SOAR-FEATURE-RELEASE-AUDIT-TOOLING,SOAR-FEATURE-RELEASE-AUDIT-TOOLING;SOAR-TOOL-REPOSITORY-PATH-RESOLVER;SOAR-TOOL-V1-FINAL-PREFLIGHT;SOAR-TOOL-V1-RELEASE-GATE;SOAR-TOOL-OPERATOR-UNBLOCK-PACKET-CHECK;SOAR-TOOL-REUSABLE-AUDIT-CHECKERS;SOAR-TEST-RELEASE-AUDIT-TOOLING;SOAR-WORKFLOW-RELEASE-AUDIT-TOOLING-CHAIN;SOAR-DOC-LOCAL-DEVELOPMENT;SOAR-DOC-TESTING;SOAR-DOC-ARCHITECTURE-GRAPH-SYSTEM,SOAR-TEST-RELEASE-AUDIT-TOOLING,SOAR-DOC-LOCAL-DEVELOPMENT;SOAR-DOC-TESTING;SOAR-DOC-ARCHITECTURE-GRAPH-SYSTEM,history/tasks/operator-unblock-default-current-packet-2026-05-24-task.md;history/tasks/reusable-audit-history-path-resolver-2026-05-24-task.md;history/releases/v1-preflight-production-no-secret-refresh-2026-05-24.md,"Protected production input proof remains blocked by missing operator-provided environment names",critical,2026-05-24,"Backfilled release audit tooling chain across preflight release gate artifacts validators resolver tests docs and graph workflow."
CHAIN-EXCHANGE-ADAPTER-DEEP,Exchange adapter deep capability and connector chain,exchange-adapter,verified_local,SOAR-FEATURE-EXCHANGE-ADAPTER,SOAR-FEATURE-EXCHANGE-ADAPTER;SOAR-SERVICE-EXCHANGE-CAPABILITIES;SOAR-SERVICE-EXCHANGE-EXECUTION-CAPABILITY;SOAR-SERVICE-EXCHANGE-AUTH-READ-CONTRACT;SOAR-SERVICE-EXCHANGE-AUTH-READ;SOAR-SERVICE-EXCHANGE-ADAPTER-BOUNDARY;SOAR-SERVICE-LIVE-ORDER-ADAPTER;SOAR-SERVICE-LIVE-FEE-RECONCILIATION;SOAR-SERVICE-EXCHANGE-SYMBOL-RULES;SOAR-SERVICE-EXCHANGE-PUBLIC-READ;SOAR-SERVICE-EXCHANGE-PUBLIC-MARKET-DATA;SOAR-SERVICE-EXCHANGE-MARKET-CATALOG;SOAR-SERVICE-EXCHANGE-CONNECTOR-FACTORY;SOAR-SERVICE-CCXT-FUTURES-CONNECTOR;SOAR-SERVICE-EXCHANGE-API-KEY-PROBE-CLIENT;SOAR-SERVICE-ORDERS;SOAR-SERVICE-POSITIONS;SOAR-SERVICE-LIVE-POSITION-RECONCILIATION;SOAR-SERVICE-RUNTIME-POSITION-COMMAND;SOAR-SERVICE-RUNTIME-AUTOMATION;SOAR-DB-WALLET;SOAR-DB-POSITION;SOAR-DB-ORDER;SOAR-DB-ORDER-FILL;SOAR-TEST-EXCHANGE-CAPABILITY-CONTRACTS;SOAR-TEST-EXCHANGE-AUTH-READ;SOAR-TEST-EXCHANGE-ADAPTER-BOUNDARY;SOAR-TEST-LIVE-ORDER-ADAPTER;SOAR-TEST-LIVE-FEE-RECONCILIATION;SOAR-TEST-EXCHANGE-SYMBOL-RULES;SOAR-TEST-EXCHANGE-PUBLIC-READ;SOAR-TEST-EXCHANGE-PUBLIC-MARKET-DATA;SOAR-TEST-EXCHANGE-CONNECTOR-FACTORY;SOAR-TEST-CCXT-FUTURES-CONNECTOR;SOAR-TEST-EXCHANGE-MARKET-CATALOG;SOAR-DOC-EXCHANGE-OWNERSHIP;SOAR-DOC-VENUE-CONTEXT,SOAR-TEST-EXCHANGE-CAPABILITY-CONTRACTS;SOAR-TEST-EXCHANGE-AUTH-READ;SOAR-TEST-EXCHANGE-ADAPTER-BOUNDARY;SOAR-TEST-LIVE-ORDER-ADAPTER;SOAR-TEST-LIVE-FEE-RECONCILIATION;SOAR-TEST-EXCHANGE-SYMBOL-RULES;SOAR-TEST-EXCHANGE-PUBLIC-READ;SOAR-TEST-EXCHANGE-PUBLIC-MARKET-DATA;SOAR-TEST-EXCHANGE-CONNECTOR-FACTORY;SOAR-TEST-CCXT-FUTURES-CONNECTOR;SOAR-TEST-EXCHANGE-MARKET-CATALOG,SOAR-DOC-EXCHANGE-OWNERSHIP;SOAR-DOC-VENUE-CONTEXT,history/audits/exchange-capability-truth-audit-2026-05-19-task.md,"Fresh approved production LIVE mutation proof remains separate",critical,2026-05-24,"Backfilled Exchange Adapter deep chain across capability contracts authenticated/public read boundaries connector factory live order adapter symbol rules fee reconciliation consumers tests and docs."
CHAIN-WALLETS-CORE,Wallets core lifecycle and analytics chain,wallets,verified_local,SOAR-FEATURE-WALLETS,SOAR-FEATURE-WALLETS;SOAR-PAGE-WALLETS-ROOT;SOAR-PAGE-WALLETS-LIST;SOAR-COMP-WALLETS-LIST-TABLE;SOAR-PAGE-WALLET-CREATE;SOAR-PAGE-WALLET-EDIT;SOAR-PAGE-WALLET-PREVIEW;SOAR-COMP-WALLET-FORM-PAGE-CONTENT;SOAR-COMP-WALLET-CREATE-EDIT-FORM;SOAR-COMP-WALLET-PREVIEW-PANEL;SOAR-SERVICE-WEB-WALLETS;SOAR-API-WALLET-LIST;SOAR-API-WALLET-METADATA;SOAR-API-WALLET-PREVIEW-BALANCE;SOAR-API-WALLET-GET;SOAR-API-WALLET-CREATE;SOAR-API-WALLET-UPDATE;SOAR-API-WALLET-DELETE;SOAR-API-WALLET-RESET-PAPER;SOAR-API-WALLET-PERFORMANCE-SUMMARY;SOAR-API-WALLET-EQUITY-TIMELINE;SOAR-API-WALLET-CASHFLOW-EVENTS;SOAR-CONTROLLER-WALLETS;SOAR-TYPES-WALLETS;SOAR-SERVICE-WALLETS;SOAR-SERVICE-WALLET-LEDGER;SOAR-SERVICE-WALLET-CASHFLOW-CLASSIFIER;SOAR-SERVICE-EXCHANGE-CAPABILITIES;SOAR-SERVICE-EXCHANGE-MARKET-CATALOG;SOAR-SERVICE-EXCHANGE-AUTH-READ;SOAR-SERVICE-EXCHANGE-ADAPTER-BOUNDARY;SOAR-DB-WALLET;SOAR-DB-BOT;SOAR-DB-POSITION;SOAR-DB-ORDER;SOAR-TEST-WALLETS-API;SOAR-TEST-WALLET-LEDGER;SOAR-TEST-WALLETS-WEB;SOAR-DOC-API-WALLETS;SOAR-DOC-WEB-WALLETS,SOAR-TEST-WALLETS-API;SOAR-TEST-WALLET-LEDGER;SOAR-TEST-WALLETS-WEB,SOAR-DOC-API-WALLETS;SOAR-DOC-WEB-WALLETS,docs/modules/api-wallets.md;docs/modules/web-wallets.md,"Fresh authenticated browser proof and approved LIVE mutation/readback remain separate",critical,2026-05-24,"Backfilled Wallets core chain across UI routes components Web service API routes controller DTO service exchange boundaries ledger DB tests and docs."
CHAIN-PROFILE-API-KEYS,Profile API Keys credential lifecycle chain,profile-api-keys,verified_local,SOAR-FEATURE-PROFILE-API-KEYS,SOAR-FEATURE-PROFILE-API-KEYS;SOAR-PAGE-PROFILE;SOAR-COMP-API-KEYS-LIST;SOAR-COMP-API-KEY-FORM;SOAR-HOOK-USE-API-KEYS;SOAR-SERVICE-WEB-API-KEYS;SOAR-API-PROFILE-APIKEY-LIST;SOAR-API-PROFILE-APIKEY-CREATE;SOAR-API-PROFILE-APIKEY-UPDATE;SOAR-API-PROFILE-APIKEY-DELETE;SOAR-API-PROFILE-APIKEY-TEST;SOAR-API-PROFILE-APIKEY-STORED-TEST;SOAR-API-PROFILE-APIKEY-ROTATE;SOAR-API-PROFILE-APIKEY-REVOKE;SOAR-CONTROLLER-PROFILE-API-KEYS;SOAR-TYPES-PROFILE-API-KEYS;SOAR-SERVICE-PROFILE-API-KEYS;SOAR-SERVICE-PROFILE-API-KEY-PROBE;SOAR-SERVICE-EXCHANGE-API-KEY-PROBE-CLIENT;SOAR-SERVICE-EXCHANGE-CAPABILITIES;SOAR-FEATURE-EXCHANGE-ADAPTER;SOAR-DB-API-KEY;SOAR-DB-LOG;SOAR-DB-USER;SOAR-FEATURE-WALLETS;SOAR-API-WALLET-PREVIEW-BALANCE;SOAR-FEATURE-BOT-RUNTIME;SOAR-TEST-PROFILE-API-KEYS-API;SOAR-TEST-PROFILE-API-KEY-PROBE;SOAR-TEST-PROFILE-API-KEYS-WEB;SOAR-DOC-API-PROFILE;SOAR-DOC-WEB-PROFILE,SOAR-TEST-PROFILE-API-KEYS-API;SOAR-TEST-PROFILE-API-KEY-PROBE;SOAR-TEST-PROFILE-API-KEYS-WEB,SOAR-DOC-API-PROFILE;SOAR-DOC-WEB-PROFILE,docs/modules/api-profile.md;docs/modules/web-profile.md,"Fresh authenticated browser proof and secret-bearing production probe proof remain separate",critical,2026-05-24,"Backfilled Profile API Keys chain across profile UI service API routes controller DTO encryption/probe service exchange boundary DB tests docs and Wallets/Bot Runtime consumers."
CHAIN-BOT-SETUP,Bot setup and canonical topology chain,bot-setup,verified_local,SOAR-FEATURE-BOT-SETUP,SOAR-FEATURE-BOT-SETUP;SOAR-PAGE-BOTS-LIST;SOAR-COMP-BOTS-LIST-TABLE;SOAR-PAGE-BOT-CREATE;SOAR-PAGE-BOT-EDIT;SOAR-PAGE-BOT-PREVIEW;SOAR-COMP-BOT-FORM-PAGE-CONTENT;SOAR-COMP-BOT-CREATE-EDIT-FORM;SOAR-SERVICE-WEB-BOTS-API;SOAR-API-BOT-LIST;SOAR-API-BOT-GET;SOAR-API-BOT-CREATE;SOAR-API-BOT-UPDATE;SOAR-API-BOT-DELETE;SOAR-API-BOT-RUNTIME-GRAPH;SOAR-API-BOT-MARKET-GROUPS-LIST;SOAR-API-BOT-MARKET-GROUP-CREATE;SOAR-API-BOT-MARKET-GROUP-STRATEGY-ATTACH;SOAR-CONTROLLER-BOTS;SOAR-TYPES-BOTS;SOAR-SERVICE-BOTS;SOAR-SERVICE-BOT-CONTEXT-VALIDATION;SOAR-SERVICE-BOT-ACTIVATION-POLICY;SOAR-SERVICE-BOT-CANONICAL-UPDATE-SCOPE;SOAR-SERVICE-BOT-MARKET-GROUPS;SOAR-FEATURE-WALLETS;SOAR-FEATURE-PROFILE-API-KEYS;SOAR-DB-BOT;SOAR-DB-WALLET;SOAR-DB-API-KEY;SOAR-DB-STRATEGY;SOAR-DB-MARKET-UNIVERSE;SOAR-DB-BOT-MARKET-GROUP;SOAR-DB-MARKET-GROUP-STRATEGY-LINK;SOAR-TEST-BOT-SETUP-API;SOAR-TEST-BOT-SETUP-WEB;SOAR-DOC-API-BOTS;SOAR-DOC-WEB-BOTS,SOAR-TEST-BOT-SETUP-API;SOAR-TEST-BOT-SETUP-WEB,SOAR-DOC-API-BOTS;SOAR-DOC-WEB-BOTS,docs/modules/api-bots.md;docs/modules/web-bots.md,"Fresh authenticated browser proof and LIVE activation proof remain separate",critical,2026-05-24,"Backfilled Bot Setup chain across list/create/edit UI Web service lifecycle API routes controller DTO context validation activation policy canonical topology DB tests and docs."
CHAIN-STRATEGIES,Strategy authoring and indicator catalog chain,strategies,verified_local,SOAR-FEATURE-STRATEGIES,SOAR-FEATURE-STRATEGIES;SOAR-PAGE-STRATEGIES-LIST;SOAR-COMP-STRATEGIES-LIST;SOAR-PAGE-STRATEGY-CREATE;SOAR-PAGE-STRATEGY-EDIT;SOAR-PAGE-STRATEGY-ID-ROOT;SOAR-COMP-STRATEGY-FORM;SOAR-COMP-STRATEGY-FORM-SECTIONS;SOAR-COMP-STRATEGY-PRESET-PICKER;SOAR-SERVICE-WEB-STRATEGIES;SOAR-SERVICE-STRATEGY-FORM-MAPPER;SOAR-SERVICE-STRATEGY-PRESETS;SOAR-API-STRATEGY-LIST;SOAR-API-STRATEGY-GET;SOAR-API-STRATEGY-CREATE;SOAR-API-STRATEGY-UPDATE;SOAR-API-STRATEGY-DELETE;SOAR-API-STRATEGY-IMPORT;SOAR-API-STRATEGY-EXPORT;SOAR-API-STRATEGY-INDICATORS;SOAR-CONTROLLER-STRATEGIES;SOAR-TYPES-STRATEGIES;SOAR-SERVICE-STRATEGIES;SOAR-SERVICE-STRATEGY-CONFIG-VALIDATION;SOAR-SERVICE-STRATEGY-INDICATORS;SOAR-DB-STRATEGY;SOAR-DB-BOT;SOAR-DB-MARKET-GROUP-STRATEGY-LINK;SOAR-FEATURE-BOT-SETUP;SOAR-FEATURE-BOT-RUNTIME;SOAR-TEST-STRATEGIES-API;SOAR-TEST-STRATEGY-INDICATORS;SOAR-TEST-STRATEGIES-WEB;SOAR-TEST-STRATEGY-FORM-UTILS;SOAR-DOC-API-STRATEGIES;SOAR-DOC-WEB-STRATEGIES,SOAR-TEST-STRATEGIES-API;SOAR-TEST-STRATEGY-INDICATORS;SOAR-TEST-STRATEGIES-WEB;SOAR-TEST-STRATEGY-FORM-UTILS,SOAR-DOC-API-STRATEGIES;SOAR-DOC-WEB-STRATEGIES,docs/modules/api-strategies.md;docs/modules/web-strategies.md,"Fresh authenticated browser proof and production strategy mutation proof remain separate",critical,2026-05-24,"Backfilled Strategies chain across list/create/edit UI Web service form mapping presets indicator catalog API routes controller DTO validation service DB bot/reference guards tests and docs."
CHAIN-MARKETS,Market universe authoring and catalog chain,markets,verified_local,SOAR-FEATURE-MARKETS,SOAR-FEATURE-MARKETS;SOAR-PAGE-MARKETS-LIST;SOAR-COMP-MARKET-UNIVERSES-TABLE;SOAR-PAGE-MARKET-CREATE;SOAR-PAGE-MARKET-EDIT;SOAR-COMP-MARKET-UNIVERSE-FORM;SOAR-COMP-MARKET-SEARCHABLE-MULTISELECT;SOAR-SERVICE-WEB-MARKETS;SOAR-SERVICE-MARKET-UNIVERSE-HELPERS;SOAR-API-MARKET-UNIVERSE-LIST;SOAR-API-MARKET-UNIVERSE-GET;SOAR-API-MARKET-CATALOG;SOAR-API-MARKET-UNIVERSE-CREATE;SOAR-API-MARKET-UNIVERSE-UPDATE;SOAR-API-MARKET-UNIVERSE-DELETE;SOAR-CONTROLLER-MARKETS;SOAR-TYPES-MARKETS;SOAR-SERVICE-MARKETS;SOAR-SERVICE-MARKET-CATALOG-SYMBOL-RESOLVER;SOAR-SERVICE-EXCHANGE-MARKET-CATALOG;SOAR-DB-MARKET-UNIVERSE;SOAR-DB-SYMBOL-GROUP;SOAR-DB-BOT;SOAR-DB-BOT-MARKET-GROUP;SOAR-FEATURE-BOT-SETUP;SOAR-FEATURE-BOT-RUNTIME;SOAR-TEST-MARKETS-API;SOAR-TEST-MARKETS-WEB;SOAR-DOC-API-MARKETS;SOAR-DOC-WEB-MARKETS,SOAR-TEST-MARKETS-API;SOAR-TEST-MARKETS-WEB,SOAR-DOC-API-MARKETS;SOAR-DOC-WEB-MARKETS,docs/modules/api-markets.md;docs/modules/web-markets.md,"Fresh authenticated browser proof and production market mutation proof remain separate",critical,2026-05-24,"Backfilled Markets chain across list/create/edit UI Web service catalog-backed form API routes controller DTO service exchange catalog symbol resolver DB guards tests and docs."
